$ ./trec_eval -q qrels_covid.txt  graph.txt
num_ret                 Q01     1000
num_rel                 Q01     636
num_rel_ret             Q01     258
map                     Q01     0.1769
Rprec                   Q01     0.3270
bpref                   Q01     0.3629
recip_rank              Q01     0.3333
iprec_at_recall_0.00    Q01     0.7500
iprec_at_recall_0.10    Q01     0.5462
iprec_at_recall_0.20    Q01     0.4057
iprec_at_recall_0.30    Q01     0.3435
iprec_at_recall_0.40    Q01     0.2593
iprec_at_recall_0.50    Q01     0.0000
iprec_at_recall_0.60    Q01     0.0000
iprec_at_recall_0.70    Q01     0.0000
iprec_at_recall_0.80    Q01     0.0000
iprec_at_recall_0.90    Q01     0.0000
iprec_at_recall_1.00    Q01     0.0000
P_5                     Q01     0.4000
P_10                    Q01     0.7000
P_15                    Q01     0.6667
P_20                    Q01     0.7000
P_30                    Q01     0.7000
P_100                   Q01     0.5500
P_200                   Q01     0.4950
P_500                   Q01     0.3460
P_1000                  Q01     0.2580
num_ret                 Q02     1000
num_rel                 Q02     314
num_rel_ret             Q02     227
map                     Q02     0.4762
Rprec                   Q02     0.5127
bpref                   Q02     0.6433
recip_rank              Q02     1.0000
iprec_at_recall_0.00    Q02     1.0000
iprec_at_recall_0.10    Q02     0.9250
iprec_at_recall_0.20    Q02     0.8072
iprec_at_recall_0.30    Q02     0.7734
iprec_at_recall_0.40    Q02     0.7079
iprec_at_recall_0.50    Q02     0.5414
iprec_at_recall_0.60    Q02     0.4174
iprec_at_recall_0.70    Q02     0.2475
iprec_at_recall_0.80    Q02     0.0000
iprec_at_recall_0.90    Q02     0.0000
iprec_at_recall_1.00    Q02     0.0000
P_5                     Q02     0.8000
P_10                    Q02     0.9000
P_15                    Q02     0.8667
P_20                    Q02     0.9000
P_30                    Q02     0.9000
P_100                   Q02     0.7800
P_200                   Q02     0.6550
P_500                   Q02     0.4020
P_1000                  Q02     0.2270
num_ret                 Q03     1000
num_rel                 Q03     628
num_rel_ret             Q03     199
map                     Q03     0.1036
Rprec                   Q03     0.2452
bpref                   Q03     0.2873
recip_rank              Q03     0.5000
iprec_at_recall_0.00    Q03     0.5714
iprec_at_recall_0.10    Q03     0.3495
iprec_at_recall_0.20    Q03     0.2889
iprec_at_recall_0.30    Q03     0.1996
iprec_at_recall_0.40    Q03     0.0000
iprec_at_recall_0.50    Q03     0.0000
iprec_at_recall_0.60    Q03     0.0000
iprec_at_recall_0.70    Q03     0.0000
iprec_at_recall_0.80    Q03     0.0000
iprec_at_recall_0.90    Q03     0.0000
iprec_at_recall_1.00    Q03     0.0000
P_5                     Q03     0.4000
P_10                    Q03     0.4000
P_15                    Q03     0.5333
P_20                    Q03     0.4500
P_30                    Q03     0.5000
P_100                   Q03     0.3700
P_200                   Q03     0.3350
P_500                   Q03     0.2740
P_1000                  Q03     0.1990
num_ret                 Q04     1000
num_rel                 Q04     529
num_rel_ret             Q04     2
map                     Q04     0.0000
Rprec                   Q04     0.0000
bpref                   Q04     0.0036
recip_rank              Q04     0.0011
iprec_at_recall_0.00    Q04     0.0022
iprec_at_recall_0.10    Q04     0.0000
iprec_at_recall_0.20    Q04     0.0000
iprec_at_recall_0.30    Q04     0.0000
iprec_at_recall_0.40    Q04     0.0000
iprec_at_recall_0.50    Q04     0.0000
iprec_at_recall_0.60    Q04     0.0000
iprec_at_recall_0.70    Q04     0.0000
iprec_at_recall_0.80    Q04     0.0000
iprec_at_recall_0.90    Q04     0.0000
iprec_at_recall_1.00    Q04     0.0000
P_5                     Q04     0.0000
P_10                    Q04     0.0000
P_15                    Q04     0.0000
P_20                    Q04     0.0000
P_30                    Q04     0.0000
P_100                   Q04     0.0000
P_200                   Q04     0.0000
P_500                   Q04     0.0000
P_1000                  Q04     0.0020
num_ret                 Q05     1000
num_rel                 Q05     614
num_rel_ret             Q05     78
map                     Q05     0.0573
Rprec                   Q05     0.1205
bpref                   Q05     0.1216
recip_rank              Q05     0.3333
iprec_at_recall_0.00    Q05     0.7895
iprec_at_recall_0.10    Q05     0.1915
iprec_at_recall_0.20    Q05     0.0000
iprec_at_recall_0.30    Q05     0.0000
iprec_at_recall_0.40    Q05     0.0000
iprec_at_recall_0.50    Q05     0.0000
iprec_at_recall_0.60    Q05     0.0000
iprec_at_recall_0.70    Q05     0.0000
iprec_at_recall_0.80    Q05     0.0000
iprec_at_recall_0.90    Q05     0.0000
iprec_at_recall_1.00    Q05     0.0000
P_5                     Q05     0.6000
P_10                    Q05     0.7000
P_15                    Q05     0.7333
P_20                    Q05     0.7500
P_30                    Q05     0.7000
P_100                   Q05     0.4200
P_200                   Q05     0.2650
P_500                   Q05     0.1440
P_1000                  Q05     0.0780
num_ret                 Q06     1000
num_rel                 Q06     959
num_rel_ret             Q06     344
map                     Q06     0.1971
Rprec                   Q06     0.3514
bpref                   Q06     0.3391
recip_rank              Q06     1.0000
iprec_at_recall_0.00    Q06     1.0000
iprec_at_recall_0.10    Q06     0.6266
iprec_at_recall_0.20    Q06     0.4640
iprec_at_recall_0.30    Q06     0.3780
iprec_at_recall_0.40    Q06     0.0000
iprec_at_recall_0.50    Q06     0.0000
iprec_at_recall_0.60    Q06     0.0000
iprec_at_recall_0.70    Q06     0.0000
iprec_at_recall_0.80    Q06     0.0000
iprec_at_recall_0.90    Q06     0.0000
iprec_at_recall_1.00    Q06     0.0000
P_5                     Q06     1.0000
P_10                    Q06     0.9000
P_15                    Q06     0.8667
P_20                    Q06     0.9000
P_30                    Q06     0.9000
P_100                   Q06     0.7000
P_200                   Q06     0.6000
P_500                   Q06     0.4480
P_1000                  Q06     0.3440
num_ret                 Q07     1000
num_rel                 Q07     481
num_rel_ret             Q07     284
map                     Q07     0.2878
Rprec                   Q07     0.3867
bpref                   Q07     0.4926
recip_rank              Q07     1.0000
iprec_at_recall_0.00    Q07     1.0000
iprec_at_recall_0.10    Q07     0.6667
iprec_at_recall_0.20    Q07     0.5282
iprec_at_recall_0.30    Q07     0.4375
iprec_at_recall_0.40    Q07     0.3789
iprec_at_recall_0.50    Q07     0.3139
iprec_at_recall_0.60    Q07     0.0000
iprec_at_recall_0.70    Q07     0.0000
iprec_at_recall_0.80    Q07     0.0000
iprec_at_recall_0.90    Q07     0.0000
iprec_at_recall_1.00    Q07     0.0000
P_5                     Q07     0.6000
P_10                    Q07     0.8000
P_15                    Q07     0.8000
P_20                    Q07     0.8000
P_30                    Q07     0.8333
P_100                   Q07     0.6000
P_200                   Q07     0.5150
P_500                   Q07     0.3820
P_1000                  Q07     0.2840
num_ret                 Q08     1000
num_rel                 Q08     632
num_rel_ret             Q08     47
map                     Q08     0.0082
Rprec                   Q08     0.0538
bpref                   Q08     0.0705
recip_rank              Q08     0.5000
iprec_at_recall_0.00    Q08     0.6667
iprec_at_recall_0.10    Q08     0.0000
iprec_at_recall_0.20    Q08     0.0000
iprec_at_recall_0.30    Q08     0.0000
iprec_at_recall_0.40    Q08     0.0000
iprec_at_recall_0.50    Q08     0.0000
iprec_at_recall_0.60    Q08     0.0000
iprec_at_recall_0.70    Q08     0.0000
iprec_at_recall_0.80    Q08     0.0000
iprec_at_recall_0.90    Q08     0.0000
iprec_at_recall_1.00    Q08     0.0000
P_5                     Q08     0.4000
P_10                    Q08     0.2000
P_15                    Q08     0.2000
P_20                    Q08     0.1500
P_30                    Q08     0.1667
P_100                   Q08     0.1100
